num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
48,23,Enero,Viernes,5,Petén,Rural,Hombre,37,40-44,Mayor,Pick up,Azul,IGNORADO,Empotro
172,8,Marzo,Domingo,5,Sacatepéquez,Rural,Hombre,39,40-44,Mayor,Camioneta,Azul,IGNORADO,Empotro
563,16,Agosto,Domingo,5,Izabal,Rural,Hombre,20,30-34,Mayor,Motocicleta,Negro,IGNORADO,Embarranco
640,16,Agosto,Domingo,5,Izabal,Rural,Hombre,20,30-34,Mayor,Motocicleta,Negro,IGNORADO,Embarranco
406,11,Junio,Jueves,5,Escuintla,Rural,Hombre,39,40-44,Mayor,Automovil,Verde,IGNORADO,Volco
407,11,Junio,Jueves,5,Escuintla,Rural,Hombre,39,40-44,Mayor,Automovil,Verde,IGNORADO,Volco
814,5,Diciembre,Sábado,5,Quetzaltenango,Rural,Mujer,80,55 y más,Mayor,Pick up,Corinto,IGNORADO,Embarranco
815,5,Diciembre,Sábado,5,Quetzaltenango,Rural,Hombre,60,50-54,Mayor,Pick up,Corinto,IGNORADO,Embarranco
30,14,Enero,Miércoles,5,Guatemala,Urbano,Hombre,30,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Empotro
103,15,Febrero,Domingo,5,Guatemala,Urbano,Hombre,32,35-39,Mayor,Automovil,Ignorado,IGNORADO,Colisión
301,21,Abril,Martes,5,El Progreso,Rural,Hombre,34,35-39,Mayor,Bus extraurbano,Ignorado,IGNORADO,Volco
132,22,Febrero,Domingo,6,Suchitepéquez,Urbano,Hombre,35,40-44,Mayor,Pick up,Beige,1987,Colisión
834,13,Diciembre,Domingo,6,Suchitepéquez,Rural,Hombre,1,Menos de 15,Menor,Pick up,Gris,1989,Empotro
717,28,Septiembre,Lunes,6,Jutiapa,Rural,Hombre,29,35-39,Mayor,Pick up,Negro,1991,Volco
543,6,Agosto,Jueves,6,Chimaltenango,Rural,Hombre,1,Menos de 15,Menor,Pick up,Blanco,1994,Empotro
596,6,Agosto,Jueves,6,Chimaltenango,Rural,Hombre,1,Menos de 15,Menor,Pick up,Blanco,1994,Empotro
620,6,Agosto,Jueves,6,Chimaltenango,Rural,Hombre,1,Menos de 15,Menor,Pick up,Blanco,1994,Empotro
550,10,Agosto,Lunes,6,Escuintla,Rural,Hombre,60,50-54,Mayor,Automovil,Corinto,1997,Colisión
551,10,Agosto,Lunes,6,Escuintla,Rural,Hombre,19,25-29,Mayor,Automovil,Corinto,1997,Colisión
627,10,Agosto,Lunes,6,Escuintla,Rural,Hombre,60,50-54,Mayor,Automovil,Corinto,1997,Colisión
628,10,Agosto,Lunes,6,Escuintla,Rural,Hombre,19,25-29,Mayor,Automovil,Corinto,1997,Colisión
824,8,Diciembre,Martes,6,Baja Verapaz,Rural,Hombre,34,35-39,Mayor,Motocicleta,Blanco,2004,Colisión
46,21,Enero,Miércoles,6,Chimaltenango,Rural,Hombre,40,40-44,Mayor,Microbus,Rojo,2006,Colisión
47,21,Enero,Miércoles,6,Chimaltenango,Rural,Hombre,30,35-39,Mayor,Microbus,Rojo,2006,Colisión
261,11,Abril,Sábado,6,Jutiapa,Rural,Hombre,7,15-19,Menor,Bus extraurbano,Rojo,IGNORADO,Volco
262,11,Abril,Sábado,6,Jutiapa,Rural,Hombre,14,20-24,Menor,Bus extraurbano,Rojo,IGNORADO,Volco
461,2,Julio,Jueves,6,Guatemala,Urbano,Hombre,23,30-34,Mayor,Automovil,Rojo,IGNORADO,Colisión
568,19,Agosto,Miércoles,6,El Progreso,Rural,Hombre,37,40-44,Mayor,Microbus,Rojo,IGNORADO,Colisión
645,19,Agosto,Miércoles,6,El Progreso,Rural,Hombre,37,40-44,Mayor,Microbus,Rojo,IGNORADO,Colisión
61,30,Enero,Viernes,6,El Progreso,Rural,Hombre,25,35-39,Mayor,Camión,Blanco,IGNORADO,Colisión
62,30,Enero,Viernes,6,El Progreso,Rural,Mujer,30,35-39,Mayor,Camión,Blanco,IGNORADO,Colisión
63,30,Enero,Viernes,6,El Progreso,Rural,Hombre,19,25-29,Mayor,Camión,Blanco,IGNORADO,Colisión
210,21,Marzo,Sábado,6,Suchitepéquez,Rural,Hombre,35,40-44,Mayor,Camión,Blanco,IGNORADO,Colisión
682,7,Septiembre,Martes,6,Guatemala,Urbano,Hombre,36,40-44,Mayor,Automovil,Blanco,IGNORADO,Empotro
686,12,Septiembre,Sábado,6,Zacapa,Rural,Hombre,39,40-44,Mayor,Camión,Blanco,IGNORADO,Colisión
698,19,Septiembre,Sábado,6,Santa Rosa,Rural,Hombre,71,55 y más,Mayor,Panel,Blanco,IGNORADO,Embarranco
830,11,Diciembre,Viernes,6,Suchitepéquez,Rural,Hombre,40,40-44,Mayor,Cabezal,Azul,IGNORADO,Volco
312,26,Abril,Domingo,6,Guatemala,Rural,Hombre,28,35-39,Mayor,Camioneta,Negro,IGNORADO,Volco
313,26,Abril,Domingo,6,Guatemala,Rural,Hombre,65,55 y más,Mayor,Camioneta,Negro,IGNORADO,Volco
493,18,Julio,Sábado,6,San Marcos,Rural,Hombre,23,30-34,Mayor,Motocicleta,Negro,IGNORADO,Embarranco
713,27,Septiembre,Domingo,6,Guatemala,Urbano,Hombre,26,35-39,Mayor,Automovil,Negro,IGNORADO,Empotro
145,28,Febrero,Sábado,6,San Marcos,Rural,Hombre,34,35-39,Mayor,Pick up,Corinto,IGNORADO,Volco
146,28,Febrero,Sábado,6,San Marcos,Rural,Hombre,28,35-39,Mayor,Pick up,Corinto,IGNORADO,Volco
147,28,Febrero,Sábado,6,San Marcos,Rural,Hombre,12,20-24,Menor,Pick up,Corinto,IGNORADO,Volco
288,19,Abril,Domingo,6,Guatemala,Urbano,Hombre,35,40-44,Mayor,Automovil,Corinto,IGNORADO,Colisión
19,10,Enero,Sábado,6,Escuintla,Rural,Hombre,34,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Colisión
364,19,Mayo,Martes,6,San Marcos,Rural,Hombre,36,40-44,Mayor,Pick up,Ignorado,IGNORADO,Empotro
